USD;CAD;1.3025
USD;MXN;20.0347
USD;BRL;5.3914
USD;CLP;772.9100
USD;COP;3,637.1500
USD;PEN;3.6070
USD;CRC;600.3500
USD;ARS;80.6813
EUR;USD;1.1870
USD;JPY;104.6400
GBP;USD;1.3340
AUD;USD;0.7348
USD;CAD;1.3021
USD;CHF;0.9123
EUR;JPY;124.2000
EUR;GBP;0.8898
USD;HKD;7.7514
EUR;CHF;1.0830
USD;KRW;1,111.4500
EUR;USD;1.1867
AUD;EUR;0.61756
AUD;JPY;76.90194
BRL;USD;0.18711
BRL;EUR;0.15644
BRL;JPY;19.48047
BRL;HKD;1.45018
GBP;USD;1.3331
USD;CHF;0.9126
USD;SEK;8.5717
USD;DKK;6.2713
USD;NOK;8.9316
USD;CZK;22.0243
USD;SKK;25.3858
USD;PLN;3.7596
USD;HUF;304.1900
USD;RUB;75.5887
USD;TRY;8.0233
USD;ILS;3.3344
USD;KES;109.7400
USD;ZAR;15.2354
USD;MAD;9.1111
CLP;USD;0.00131
CLP;JPY;0.13655
USD;INR;46.4
INR;JPY;2.5
JPY;USD;0.00955
JPY;ARS;0.78
EUR;ARS;90.91
ARS;EUR;0.011
